round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009
74,370,22.22222222222222,13.88888888888889,0.0,0.0,962.2210294646044,47.479641233406554,853.1229357171333,999.253208098796,0.9975711033866567,9622.210294646044,7,264,995.7707949327948,983.0684794641838,935.5061911177172,900.7917058930595,987.6129083301341,853.1229357171333,997.3233203976424,997.4924614804024,972.2682892141809,999.253208098796
75,375,17.77777777777778,13.88888888888889,0.0,0.0,961.8023832764678,48.40543250256559,849.3402348602268,999.253208098796,0.9974735082631416,9618.023832764678,7,268,995.7707949327948,983.0684794641838,935.5061911177172,900.3879448686001,987.6129083301341,849.3402348602268,997.3233203976424,997.4924614804024,972.2682892141809,999.253208098796
76,380,17.77777777777778,13.88888888888889,0.0,0.0,961.3807781235406,48.45539991086877,849.2257164813643,999.253208098796,0.9974660873804305,9613.807781235406,7,272,995.7707949327948,983.0684794641838,935.5061911177172,899.0890692454352,984.8102508028879,849.2257164813643,997.3233203976424,997.4924614804024,972.2682892141809,999.253208098796
77,385,17.77777777777778,6.944444444444445,0.0,0.0,960.9992044588183,48.85208944279769,848.394225427286,999.253208098796,0.9974224957511036,9609.992044588183,6,276,995.7707949327948,983.0684794641838,933.0653163691261,898.5456984008839,984.8102508028879,848.394225427286,997.3233203976424,997.4924614804024,972.2682892141809,999.253208098796
78,390,17.77777777777778,10.416666666666666,0.0,0.0,960.2216742957365,49.924068089736636,848.0053582676867,999.253208098796,0.9973040953569706,9602.216742957366,7,280,995.7707949327948,983.0684794641838,933.0653163691261,891.1592639296646,984.8102508028879,848.0053582676867,997.3233203976424,997.4924614804024,972.2682892141809,999.253208098796
79,395,17.77777777777778,6.944444444444445,0.0,0.0,959.8705343977784,49.88828397366331,848.0053582676867,999.135238260806,0.9973059835971699,9598.705343977785,5,272,995.7707949327948,983.0684794641838,933.0653163691261,890.6545592049521,984.8102508028879,848.0053582676867,997.3233203976424,996.8741244448831,969.997901832822,999.135238260806
80,400,17.77777777777778,6.944444444444445,0.0,0.0,959.4283451836825,50.70365765150861,844.8142841285942,999.135238260806,0.9972148906975982,9594.283451836825,4,276,995.7707949327948,983.0684794641838,933.0653163691261,889.81252428539,984.4214677205829,844.8142841285942,997.3233203976424,996.8741244448831,969.997901832822,999.135238260806
81,405,22.22222222222222,6.944444444444445,0.0,0.0,958.924297338621,50.763548584239324,844.1785698042112,999.135238260806,0.9972053982809078,9589.24297338621,4,280,995.7707949327948,982.8039193109013,933.0653163691261,889.81252428539,984.4214677205829,844.1785698042112,997.3233203976424,996.8741244448831,965.8576978598725,999.135238260806
82,410,26.666666666666668,10.416666666666666,0.0,0.0,958.1687032338353,51.85799824035455,843.1954270087634,999.135238260806,0.9970793651496984,9581.687032338354,4,284,995.7707949327948,982.8039193109013,932.5639787305142,883.7410636715933,984.4214677205829,843.1954270087634,997.3233203976424,996.8741244448831,965.8576978598725,999.135238260806
83,415,26.666666666666668,13.88888888888889,0.0,0.0,957.5117617355515,52.09127205355923,842.1315004339654,999.135238260806,0.9970490746326216,9575.117617355516,5,288,995.7707949327948,982.8039193109013,932.5639787305142,883.3813373382555,984.4214677205829,842.1315004339654,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
84,420,22.22222222222222,17.36111111111111,0.0,0.0,957.0976277081709,52.569762933712205,842.1315004339654,999.135238260806,0.9969921836826343,9570.976277081709,6,292,995.7707949327948,982.8039193109013,932.5639787305142,879.8551124409344,983.8063523440975,842.1315004339654,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
85,425,17.77777777777778,17.36111111111111,0.0,0.0,956.4802559709457,53.054953872288266,841.1925500358702,999.135238260806,0.9969326334603753,9564.802559709457,6,296,995.7707949327948,982.8039193109013,927.4893671700479,879.6949570272433,983.8063523440975,841.1925500358702,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
86,430,17.77777777777778,10.416666666666666,0.0,0.0,955.6772263726056,53.70610807812669,840.382023240687,999.135238260806,0.9968518493409725,9556.772263726056,7,300,995.7707949327948,982.8039193109013,920.7968617291535,879.1676932799204,983.8063523440975,840.382023240687,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
87,435,17.77777777777778,13.88888888888889,0.0,0.0,955.264344105507,54.42575876170107,836.990417569318,999.135238260806,0.9967644034081435,9552.64344105507,6,304,995.7707949327948,982.8039193109013,920.7968617291535,879.0368071931523,983.2000214312486,836.990417569318,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
88,440,13.333333333333334,10.416666666666666,0.0,0.0,954.8886935181521,54.39233640688328,836.4433950964404,999.135238260806,0.9967658283403402,9548.886935181521,6,308,992.9346903679188,982.8039193109013,920.7968617291535,878.6634283573574,983.2000214312486,836.4433950964404,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
89,445,13.333333333333334,6.944444444444445,0.0,0.0,954.0286231813155,56.10878808248663,829.3760443988218,999.135238260806,0.9965530151511277,9540.286231813156,6,312,992.9346903679188,982.8039193109013,920.1441408568236,877.78279655894,983.2000214312486,829.3760443988218,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
90,450,13.333333333333334,3.4722222222222223,0.0,0.0,953.622825590545,56.10158837000489,828.9640063737135,999.135238260806,0.9965509732948327,9536.22825590545,6,316,990.0476087853997,982.8039193109013,920.0359680631743,877.1321130525101,983.2000214312486,828.9640063737135,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
91,455,13.333333333333334,3.4722222222222223,0.0,0.0,953.2558024139173,56.57827077396355,828.4204659849999,999.135238260806,0.9964896274724148,9532.558024139173,5,320,990.0476087853997,982.8039193109013,919.8909151575697,874.4821946687681,982.868301343032,828.4204659849999,997.3233203976424,996.8741244448831,960.71193578517,999.135238260806
92,460,13.333333333333334,3.4722222222222223,0.0,0.0,952.8735709317361,57.133080247104424,825.9557703375385,999.135238260806,0.9964178298930438,9528.735709317361,5,324,990.0476087853997,982.8039193109013,919.523020268794,874.4821946687681,982.868301343032,825.9557703375385,997.3233203976424,996.8741244448831,959.7222114995955,999.135238260806
93,465,17.77777777777778,6.944444444444445,0.0,0.0,952.232018925735,57.742264821470904,824.6286864266436,999.135238260806,0.9963363998832102,9522.32018925735,6,328,990.0476087853997,982.8039193109013,914.4345841196786,874.4821946687681,982.868301343032,824.6286864266436,997.3233203976424,996.8741244448831,959.7222114995955,999.135238260806
94,470,17.77777777777778,6.944444444444445,0.0,0.0,951.8607472904725,58.17237875377732,824.6286864266436,999.135238260806,0.9962789307146958,9518.607472904725,6,332,990.0476087853997,982.8039193109013,913.364423176795,871.8396392590261,982.868301343032,824.6286864266436,997.3233203976424,996.8741244448831,959.7222114995955,999.135238260806
95,475,22.22222222222222,10.416666666666666,0.0,0.0,951.4013747946976,57.98140706753182,824.6286864266436,998.6114640368355,0.9962996744032147,9514.013747946976,4,336,990.0476087853997,982.8039193109013,912.8982331991344,871.8396392590261,979.3645124519392,824.6286864266436,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
96,480,13.333333333333334,10.416666666666666,0.0,0.0,950.8306367232315,58.38429292717422,824.6286864266436,998.6114640368355,0.9962437772535652,9508.306367232315,5,340,990.0476087853997,982.8039193109013,907.1908524844741,871.8396392590261,979.3645124519392,824.6286864266436,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
97,485,13.333333333333334,13.88888888888889,0.0,0.0,950.243510068812,59.47575599845423,820.5098276106118,998.6114640368355,0.9960977769609942,9502.43510068812,5,344,990.0476087853997,982.8039193109013,906.9129070472937,870.4854190002071,979.2442704197766,820.5098276106118,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
98,490,17.77777777777778,10.416666666666666,0.0,0.0,949.8403788836315,59.422110373978434,820.5098276106118,998.6114640368355,0.9961014915693036,9498.403788836315,5,348,990.0476087853997,982.5528915655581,906.7726263695097,869.824492558673,976.2651934326311,820.5098276106118,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
99,495,17.77777777777778,6.944444444444445,0.0,0.0,949.4307758721241,59.35008072453187,820.0921093384602,998.6114640368355,0.9961075570829995,9494.307758721241,5,352,990.0476087853997,981.9535330055309,906.7726263695097,869.824492558673,973.1862401497368,820.0921093384602,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
100,500,13.333333333333334,6.944444444444445,0.0,0.0,949.1189993860393,59.94245886555592,817.7346586911489,998.6114640368355,0.9960271793186312,9491.189993860393,5,356,990.0476087853997,981.9535330055309,906.3790662871249,869.4577384275217,973.1862401497368,817.7346586911489,997.3233203976424,996.8741244448831,959.6222396345697,998.6114640368355
101,505,13.333333333333334,10.416666666666666,0.0,0.0,948.6515552385529,60.28390882785322,817.5646697168156,998.6114640368355,0.9959780272854485,9486.515552385528,6,360,990.0476087853997,981.9535330055309,902.8699328449931,869.0355745040981,973.1862401497368,817.5646697168156,997.3233203976424,996.8741244448831,959.0490844995934,998.6114640368355
102,510,17.77777777777778,13.88888888888889,0.0,0.0,948.0380195771692,61.11654427753816,817.5646697168156,998.6114640368355,0.9958612907033269,9480.380195771691,6,364,990.0476087853997,981.9535330055309,902.8699328449931,862.9002178902607,973.1862401497368,817.5646697168156,997.3233203976424,996.8741244448831,959.0490844995934,998.6114640368355
103,515,22.22222222222222,17.36111111111111,0.0,0.0,947.5088509177147,61.816153661458195,817.5646697168156,998.6114640368355,0.9957616890152433,9475.088509177147,7,368,990.0476087853997,981.9535330055309,902.8699328449931,857.9358781962721,973.1862401497368,817.5646697168156,997.3233203976424,996.8741244448831,958.7217375990383,998.6114640368355
104,520,8.88888888888889,20.833333333333332,0.0,0.0,946.9122552806386,62.999939330951044,812.4793232721047,998.6114640368355,0.9955930043279749,9469.122552806386,6,102,990.0476087853997,981.9535330055309,902.8699328449931,857.1440902526313,973.1862401497368,812.4793232721047,997.2344984152331,996.8741244448831,958.7217375990383,998.6114640368355
105,525,13.333333333333334,20.833333333333332,0.0,0.0,946.3957631661153,62.97633066261396,812.4793232721047,998.6114640368355,0.9955915053999674,9463.957631661153,4,106,990.0476087853997,981.9535330055309,902.2804912465112,857.0282845002114,972.7894646497305,812.4793232721047,997.2344984152331,996.8741244448831,954.658839304712,998.6114640368355
106,530,17.77777777777778,24.305555555555554,0.0,0.0,945.646891043068,64.06961164075217,812.4793232721047,998.6114640368355,0.9954306210039987,9456.46891043068,4,110,990.0476087853997,981.9535330055309,902.2804912465112,849.5395632697395,972.7894646497305,812.4793232721047,997.2344984152331,996.8741244448831,954.658839304712,998.6114640368355
107,535,22.22222222222222,24.305555555555554,0.0,0.0,944.9339847642452,65.4033280414855,807.2447753034245,998.6114640368355,0.9952321656067897,9449.339847642452,6,114,990.0476087853997,981.9535330055309,901.7500126554007,848.1755270413008,972.7894646497305,807.2447753034245,997.2344984152331,996.8741244448831,954.658839304712,998.6114640368355
108,540,26.666666666666668,27.77777777777778,0.0,0.0,944.4813857828316,65.68241543726393,807.2447753034245,998.6114640368355,0.9951869971642957,9444.813857828316,6,118,990.0476087853997,981.9535330055309,898.2560994088669,847.7306411245814,972.2022739988481,807.2447753034245,997.2344984152331,996.8741244448831,954.658839304712,998.6114640368355
109,545,31.11111111111111,20.833333333333332,0.0,0.0,943.7370716436883,67.20165237925961,800.4529514683418,998.6114640368355,0.9949549983660877,9437.370716436883,5,122,990.0476087853997,981.9535330055309,898.2560994088669,847.1369578055253,972.2022739988481,800.4529514683418,997.2344984152331,996.8741244448831,954.6012050674185,998.6114640368355
