round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009,tok_node_0010,tok_node_0011,tok_node_0012,tok_node_0013,tok_node_0014,tok_node_0015,tok_node_0016,tok_node_0017,tok_node_0018,tok_node_0019
196,980,17.77777777777778,10.416666666666666,0.0,0.0,954.3745556601978,73.41848553193302,669.1484364154687,997.4838912553987,0.9941168412135094,19087.491113203956,16,385,993.6764775568911,994.2602978732338,962.2720423941432,991.4699218827479,669.1484364154687,878.3325086526088,983.4708680261294,987.9759924996835,928.3635497283169,901.6008898865874,970.1066525528763,972.3897113798325,994.6387698215962,997.4838912553987,987.4913742659105,928.2602924224813,964.4425644323492,993.2173734391971,992.6841882727666,996.2053104457378
197,985,17.77777777777778,10.416666666666666,0.0,0.0,954.1659999988124,73.54078865427154,669.0047236402509,997.4838912553987,0.9940947745544336,19083.319999976247,16,389,993.6764775568911,994.2602978732338,962.2720423941432,991.4699218827479,669.0047236402509,878.3325086526088,983.4708680261294,987.9759924996835,925.4395284539597,900.497510708452,970.1066525528763,972.3897113798325,994.6387698215962,997.4838912553987,987.4913742659105,928.2602924224813,964.4425644323492,993.2173734391971,992.6841882727666,996.2053104457378
198,990,17.77777777777778,13.88888888888889,0.0,0.0,953.9558760542595,73.47613287247371,669.0047236402509,996.2053104457378,0.9941025104863486,19079.11752108519,14,393,993.6764775568911,994.2602978732338,962.2720423941432,991.4699218827479,669.0047236402509,878.3325086526088,983.4708680261294,987.9759924996835,924.8204831682417,900.497510708452,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.4913742659105,927.7958835581169,964.2592523022082,993.2173734391971,992.6841882727666,996.2053104457378
199,995,17.77777777777778,17.36111111111111,0.0,0.0,953.7011505648961,73.64970481326745,668.7120426019479,996.2053104457378,0.9940716328959924,19074.023011297922,13,397,993.6764775568911,994.2602978732338,962.2720423941432,991.4699218827479,668.7120426019479,877.697660000228,983.4708680261294,987.9759924996835,920.7851672741374,900.497510708452,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.4913742659105,927.7958835581169,964.1275880997283,993.2173734391971,992.6841882727666,996.2053104457378
200,1000,8.88888888888889,13.88888888888889,0.0,0.0,953.4747304411076,73.70577057902639,667.997124315357,996.2053104457378,0.9940598536984974,19069.49460882215,13,250,990.3105562088609,994.2602978732338,962.1664612145893,991.4699218827479,667.997124315357,877.697660000228,983.4708680261294,987.9759924996835,920.7851672741374,900.497510708452,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.4913742659105,927.4539018965203,964.1275880997283,993.2173734391971,992.6841882727666,996.2053104457378
201,1005,13.333333333333334,17.36111111111111,0.0,0.0,953.2279675641961,74.58698538631658,663.5797849730502,996.2053104457378,0.9939147044937683,19064.559351283922,13,254,990.3105562088609,994.2602978732338,962.1664612145893,991.4699218827479,663.5797849730502,877.3005206067053,983.4708680261294,987.9759924996835,920.7851672741374,900.3767319060515,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.4913742659105,927.4539018965203,964.1275880997283,993.2173734391971,992.6841882727666,996.2053104457378
202,1010,13.333333333333334,17.36111111111111,1.0850694444444444,0.0,952.988454038642,75.31755911969292,660.0577555383975,996.2053104457378,0.9937925542220174,19059.76908077284,13,258,990.3105562088609,994.2602978732338,962.1664612145893,991.4699218827479,660.0577555383975,876.4854512537477,983.4708680261294,987.9759924996835,920.4459185883991,900.3767319060515,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,927.4539018965203,964.1275880997283,993.2173734391971,992.6841882727666,996.2053104457378
203,1015,13.333333333333334,20.833333333333332,1.0850694444444444,0.0,952.7918919647858,75.46172122639841,659.7839341183915,996.2053104457378,0.993766361682619,19055.837839295717,13,262,990.3105562088609,994.2602978732338,962.1664612145893,991.4699218827479,659.7839341183915,876.4854512537477,983.4708680261294,987.9759924996835,920.4459185883991,897.4580190907956,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,927.3187025705971,964.1275880997283,993.2173734391971,992.0806803568306,996.2053104457378
204,1020,17.77777777777778,24.305555555555554,0.0,0.0,952.5170620238212,75.59513933975282,659.6480986397758,996.2053104457378,0.9937408500054559,19050.341240476424,13,266,990.3105562088609,994.2602978732338,961.8338863667553,991.4699218827479,659.6480986397758,876.4854512537477,983.4708680261294,987.9759924996835,916.301643023377,897.4580190907956,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,926.434789642775,964.1275880997283,993.2173734391971,992.0806803568306,996.2053104457378
205,1025,22.22222222222222,20.833333333333332,0.0,0.0,952.2709213818137,75.78075424808864,659.2158132480971,996.2053104457378,0.9937070371687885,19045.418427636272,14,270,990.3105562088609,994.2602978732338,961.8338863667553,991.4699218827479,659.2158132480971,876.4854512537477,983.1856281777698,987.9759924996835,912.2675807540529,897.2867937600076,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,926.434789642775,964.1275880997283,993.2173734391971,992.0806803568306,996.2053104457378
206,1030,22.22222222222222,20.833333333333332,0.0,0.0,952.0332339876395,75.93835199742233,658.3680430660232,996.2053104457378,0.9936778654661143,19040.66467975279,13,274,990.3105562088609,994.2602978732338,961.8338863667553,991.3570525439104,658.3680430660232,876.4854512537477,983.1856281777698,987.9759924996835,912.2675807540529,896.7666268769457,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,926.434789642775,960.8546466202189,993.2173734391971,992.0806803568306,996.2053104457378
